Player,Year,Age,Team,Pos,Number,Games,Starts,RushAtms,RushYds,RushTD,RushLng,RushYPA,RushYPG,RushAtmsPG,Targets,Rec,Yds,RecYPR,RecTD,RecLng,RecRPG,RYPG,Ctch%,YardfmScrim,TotalTD,Fumbles
JohnsonDa,2016,25,ARI,RB,31,16,16,293,1239,16,58,4.2,77.4,18.3,120,80,879,11,4,58,5,54.9,66.7,2118,20,5
FreemanDe,2016,24,ATL,RB,24,16,16,227,1079,11,75,4.8,67.4,14.2,65,54,462,8.6,2,35,3.4,28.9,83.1,1541,13,1
WestTe,2016,25,BAL,RB,28,16,13,193,774,5,41,4,48.4,12.1,45,34,236,6.9,1,17,2.1,14.8,75.6,1010,6,2
McCoyLe,2016,28,BUF,RB,25,15,15,234,1267,13,75,5.4,84.5,15.6,57,50,356,7.1,1,41,3.3,23.7,87.7,1623,14,3
StewartJo,2016,29,CAR,RB,28,13,13,218,824,9,47,3.8,63.4,16.8,21,8,60,7.5,0,25,0.6,4.6,38.1,884,9,3
HowardJo,2016,22,CHI,RB,24,15,13,252,1313,6,69,5.2,87.5,16.8,50,29,298,10.3,1,34,1.9,19.9,58,1611,7,2
HillJe,2016,24,CIN,RB,32,15,13,222,839,9,74,3.8,55.9,14.8,27,21,174,8.3,0,25,1.4,11.6,78.8,1013,9,0
JohnsonDu,2016,23,CLE,RB,29,16,1,73,358,1,22,4.9,22.4,4.6,74,53,514,9.7,0,32,3.3,32.1,71.6,872,1,2
ElliotEz,2016,21,DAL,RB,21,15,15,322,1631,15,60,5.1,108.7,21.5,39,32,363,11.3,1,83,2.1,24.2,82.1,1994,16,5
AndersonCJ,2016,25,DEN,RB,22,7,7,110,437,4,28,4,62.4,15.7,24,16,128,8,1,25,2.3,18.3,66.7,565,5,0
RiddickTh,2016,25,DET,RB,25,10,8,92,357,1,42,3.9,35.7,9.2,67,53,371,7,5,23,5.3,37.1,79.1,728,6,0
LacyEd,2016,25,GNB,RB,27,5,5,71,360,0,31,5.1,72,14.2,7,4,28,7,0,17,0.8,5.6,57.1,388,0,0
MillerLa,2016,25,HOU,RB,26,14,14,268,1073,5,45,4,76.6,19.1,39,31,188,6.1,1,16,2.2,13.4,79.5,1261,6,2
GoreFr,2016,33,IND,RB,23,16,16,263,1025,4,22,3.9,64.1,16.4,47,38,277,7.3,4,49,2.4,17.3,80.9,1302,8,2
IvoryCh,2016,28,JAX,RB,33,11,1,117,439,3,42,3.8,39.9,10.6,28,20,186,9.3,0,37,1.8,16.9,71.4,625,3,5
CharlesJa,2016,30,KAN,RB,25,3,0,12,40,1,17,3.3,13.3,4,3,2,14,7,0,16,0.7,4.7,66.7,54,1,0
GurleyTo,2016,22,LAR,RB,30,16,16,278,885,6,24,3.2,55.3,17.4,58,43,327,7.6,0,33,2.7,20.4,74.1,1212,6,2
AjayiJa,2016,23,MIA,RB,23,15,12,260,1272,8,62,4.9,84.8,17.3,35,27,151,5.6,0,15,1.8,10.1,77.1,1423,8,4
PetersonAd,2016,31,MIN,RB,28,3,3,37,72,0,13,1.9,24,12.3,6,3,8,2.7,0,7,1,2.7,50,80,0,1
IngramMa,2016,27,NOR,RB,22,16,14,205,1043,6,75,5.1,65.2,12.8,58,46,319,6.9,4,22,2.9,19.9,79.3,1362,10,2
LeGarretteBl,2016,30,NWE,RB,29,16,8,299,1161,18,44,3.9,72.6,18.7,8,7,38,5.4,0,16,0.4,2.4,87.5,1199,18,2
JenningsRa,2016,31,NYG,RB,23,13,12,181,593,3,25,3.3,45.6,13.9,42,35,201,5.7,1,24,2.7,15.5,83.3,794,4,1
ForteMa,2016,31,NYJ,RB,22,14,13,218,813,7,32,3.7,58.1,15.6,43,30,263,8.8,1,40,2.1,18.8,69.8,1076,8,1
MurrayLa,2016,26,OAK,RB,28,14,12,195,788,12,42,4,56.3,13.9,43,33,264,8,0,39,2.4,18.9,76.7,1052,12,2
MathewsRy,2016,29,PHI,RB,24,13,8,155,661,8,30,4.3,50.8,11.9,14,13,115,8.8,1,27,1,8.8,92.9,776,9,3
BellLe,2016,24,PIT,RB,26,12,12,261,1268,7,44,4.9,105.7,21.8,94,75,616,8.2,2,32,6.3,51.3,79.8,1884,9,4
MelvinGo,2016,23,SDG,RB,28,13,11,254,997,10,48,3.9,76.7,19.5,57,41,419,10.2,2,35,3.2,32.2,71.9,1416,12,2
RawlsTh,2016,23,SEA,RB,34,9,7,109,349,3,45,3.2,38.8,12.1,17,13,96,7.4,0,20,1.4,10.7,76.5,445,3,0
HydeCa,2016,26,SFO,RB,28,13,13,217,988,6,47,4.6,76,16.7,33,27,163,6,3,19,2.1,12.5,81.8,1151,9,5
MartinDo,2016,27,TAM,RB,22,8,8,144,421,3,17,2.9,52.6,18,16,14,134,9.6,0,27,1.8,16.8,87.5,555,3,1
MurrayDe,2016,28,TEN,RB,29,16,16,293,1287,9,75,4.4,80.4,18.3,67,53,377,7.1,3,35,3.3,23.6,79.1,1664,12,3
KelleyRo,2016,24,WAS,RB,32,15,9,168,704,6,66,4.2,46.9,11.2,18,12,82,6.8,1,22,0.8,5.5,66.7,786,7,0
